App Name,Category,Installs,Rating,Target_SDK,Has_Fine_Loc,Has_Background_Loc,Has_Post_Notif,Declared_FGS_Types,Embedded_Trackers
App89,Maps & Navigation,"1,000,000+",1.56,36,TRUE,TRUE,TRUE,0x00000008,Google_Location_SDK
App90,Travel & Local,"100,000+",4.84,36,TRUE,FALSE,TRUE,"0x00000001, 0x40000000, 0x00000008","Firebase_Analytics, Google_Location_SDK"
App91,Sports,"100,000+",3.75,34,TRUE,FALSE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK"
App92,Sports,"10,000+",Unrated,34,TRUE,FALSE,FALSE,"0x00000010, 0x00000008","Firebase_Analytics, Google_Location_SDK"
App93,Travel & Local,"10,000+",4.76,35,TRUE,TRUE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK"
App94,Sports,"1,000,000+",2.8,35,TRUE,FALSE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK, AppsFlyer_Analytics"
App95,Maps & Navigation,"500,000+",4.31,36,TRUE,FALSE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK"
App96,Maps & Navigation,"10,000+",4.28,35,TRUE,FALSE,TRUE,0x00000008,"Firebase_Analytics, Google_Location_SDK"
App97,Sports,"5,000,000+",4.44,35,TRUE,FALSE,TRUE,"0x00000001, 0x00000008","Firebase_Analytics, Google_Location_SDK"
App98,Health & Fitness,"10,000,000+",4.79,35,TRUE,TRUE,TRUE,"0x40000000, 0x00000008, 0x00000020","Firebase_Analytics, Google_Location_SDK"
